iter	Passed	Remaining
0	128	12727
1	129	6369
2	130	4230
3	131	3167
4	132	2519
5	133	2094
6	134	1791
7	135	1560
8	136	1380
9	137	1234
10	138	1118
11	138	1019
12	139	936
13	140	863
14	141	799
15	141	743
16	142	694
17	142	650
18	143	611
19	143	575
20	144	543
21	144	513
22	145	486
23	145	462
24	146	439
25	146	418
26	147	398
27	147	380
28	148	363
29	149	347
30	149	333
31	150	319
32	150	306
33	151	293
34	151	281
35	152	270
36	152	260
37	153	249
38	153	240
39	154	231
40	154	222
41	155	214
42	155	206
43	156	198
44	156	191
45	157	184
46	157	177
47	158	171
48	158	165
49	159	159
50	159	153
51	160	147
52	160	142
53	160	137
54	161	132
55	161	127
56	162	122
57	163	118
58	164	114
59	164	109
60	165	105
61	165	101
62	166	97
63	166	93
64	167	90
65	167	86
66	168	82
67	168	79
68	169	76
69	169	72
70	170	69
71	170	66
72	171	63
73	171	60
74	172	57
75	172	54
76	173	51
77	173	49
78	174	46
79	175	43
80	175	41
81	176	38
82	176	36
83	177	33
84	177	31
85	178	28
86	178	26
87	179	24
88	179	22
89	180	20
90	180	17
91	181	15
92	181	13
93	182	11
94	183	9
95	183	7
96	184	5
97	184	3
98	185	1
99	186	0
